Mã CK,Tên Công ty,2020,2021,2022,2023,2024,2025
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí," 7,762 "," 12,786 "," 18,627 "," 13,569 "," 13,496 "," 16,564 "
VGC,Tổng Công ty Viglacera," 9,433 "," 11,194 "," 14,592 "," 13,194 "," 11,906 "," 13,315 "
DGC,Hóa chất Đức Giang," 6,236 "," 9,550 "," 14,444 "," 9,748 "," 9,865 "," 11,262 "
PVD,Khoan Dầu khí PVDrilling," 5,229 "," 3,995 "," 5,432 "," 5,804 "," 9,288 "," 10,897 "
SBT,Mía đường Thành Thành Công - Biên Hòa," 14,309 "," 16,659 "," 21,254 "," 25,892 "," 29,995 "," 26,228 "
IDC,IDICO," 5,356 "," 4,301 "," 7,485 "," 7,237 "," 8,846 "," 8,588 "
QNS,Đường Quảng Ngãi," 6,490 "," 7,335 "," 8,255 "," 10,021 "," 10,243 "," 10,575 "
TAL,Đầu Tư Bất Động Sản Taseco,,," 2,829 "," 3,238 "," 1,684 "," 3,730 "
MBS,Chứng khoán MB, 625 ," 1,277 "," 1,232 "," 1,244 "," 1,711 "," 2,531 "
DXG,Địa ốc Đất Xanh," 2,891 "," 10,089 "," 5,512 "," 3,725 "," 4,795 "," 4,192 "
PDR,BĐS Phát Đạt," 3,911 "," 3,620 "," 1,505 ", 618 , 822 ," 1,325 "
TCH,ĐT DV Tài chính Hoàng Huy," 4,566 "," 2,224 "," 2,694 "," 2,736 "," 5,427 "," 1,912 "
KDC,Tập đoàn KIDO," 8,324 "," 10,497 "," 12,535 "," 8,650 "," 8,324 "," 9,055 "
SHS,Chứng khoán SG - HN," 1,215 "," 2,062 ", 454 , 854 ," 1,425 "," 2,090 "
VCG,VINACONEX," 5,551 "," 5,749 "," 8,453 "," 12,704 "," 12,870 "," 16,071 "
NLG,BĐS Nam Long," 2,217 "," 5,206 "," 4,339 "," 3,181 "," 7,196 "," 5,645 "
SIP,Đầu tư Sài Gòn VRG," 5,083 "," 5,578 "," 6,035 "," 6,677 "," 7,801 "," 8,596 "
VHC,Thủy sản Vĩnh Hoàn," 7,037 "," 9,054 "," 13,231 "," 10,033 "," 12,513 "," 12,021 "
CII,Hạ tầng Kỹ thuật TP.HCM," 5,374 "," 2,860 "," 5,748 "," 3,090 "," 3,028 "," 2,960 "
PC1,Tập đoàn PC1," 6,679 "," 9,828 "," 8,358 "," 7,775 "," 10,089 "," 13,085 "
VTP,Bưu chính Viettel," 17,234 "," 21,452 "," 21,629 "," 19,588 "," 20,735 "," 20,574 "
HPA,Phát triển Nông nghiệp Hoà Phát,,," 6,758 "," 6,153 "," 6,909 "," 8,116 "
HDG,Tập đoàn Hà Đô," 4,999 "," 3,777 "," 3,581 "," 2,889 "," 2,718 "," 2,787 "
DIG,DIC Corp," 2,487 "," 2,569 "," 1,897 "," 1,026 "," 1,301 "," 4,718 "
PVT,Vận tải Dầu khí PVTrans," 7,383 "," 7,460 "," 9,047 "," 9,556 "," 11,732 "," 16,013 "
BAF,Nông nghiệp BAF Việt Nam," 12,846 "," 10,434 "," 7,083 "," 5,199 "," 5,641 "," 5,038 "
BMP,Nhựa Bình Minh," 4,686 "," 4,553 "," 5,808 "," 5,157 "," 4,616 "," 5,510 "
HAH,Vận tải và Xếp dỡ Hải An," 1,192 "," 1,955 "," 3,206 "," 2,613 "," 3,992 "," 5,091 "
DGW,Thế Giới Số," 12,536 "," 20,923 "," 22,028 "," 18,817 "," 22,079 "," 26,632 "
CTR,Công trình Viettel," 6,359 "," 7,447 "," 9,370 "," 11,299 "," 12,610 "," 13,940 "
BWE,Nước - Môi trường Bình Dương," 3,025 "," 3,119 "," 3,484 "," 3,526 "," 3,959 "," 4,543 "
CTD,Xây dựng Coteccons," 14,558 "," 9,078 "," 14,537 "," 16,528 "," 22,906 "," 30,699 "
HSG,Tập đoàn Hoa Sen," 30,054 "," 56,561 "," 40,695 "," 32,806 "," 40,420 "," 34,699 "
DBC,Tập đoàn DABACO," 10,022 "," 10,813 "," 11,558 "," 11,110 "," 13,574 "," 14,898 "
NT2,Điện lực Nhơn Trạch 2," 6,082 "," 6,150 "," 8,788 "," 6,386 "," 5,944 "," 7,958 "
CMG,Tập đoàn Công nghệ CMC," 4,924 "," 5,846 "," 7,609 "," 7,505 "," 7,934 "," 9,111 "
HHV,Đầu tư Hạ tầng Giao thông Đèo Cả," 1,201 "," 1,861 "," 2,095 "," 2,686 "," 3,308 "," 3,801 "
PAN,Tập đoàn PAN," 8,329 "," 9,249 "," 13,655 "," 13,205 "," 16,182 "," 17,586 "
ANV,Thủy sản Nam Việt," 3,439 "," 3,494 "," 4,897 "," 4,439 "," 4,911 "," 6,952 "
NKG,Thép Nam Kim," 11,560 "," 28,173 "," 23,071 "," 18,596 "," 20,609 "," 14,808 "
HHS,Đầu tư DV Hoàng Huy, 605 , 516 , 385 , 367 , 571 , 893 
SZC,Sonadezi Châu Đức, 433 , 713 , 859 , 818 , 871 ," 1,098 "
HDC,Phát triển Nhà BR-VT, 839 ," 1,352 "," 1,298 ", 665 , 546 , 456 
